식품코드,식품코드명
81511,"쿠키,딸기쿠키(롯데)"
81516,"쿠키,미니참깨스틱(청우)"
81517,"쿠키,빼빼로 화이트쿠키(롯데제과)"
81525,"쿠키,오레오 초콜렛샌드위치화이트쿠키(미가방유한회사)"
81526,"쿠키,오레오 초콜릿샌드위치쿠키(미가방유한회사)"
81527,"쿠키,옹골진 오곡쿠키(크라운제과)"
81531,"쿠키,초코픽(해태)"
81534,"쿠키,포키 오리지날(해태)"
81535,"쿠키,포키 초코(해태)"
81539,"크래커,하비스트 고소한맛(롯데제과)"
81556,"팥빵,쫀득쫀득참붕어빵(오리온)"
81558,"호빵,삼립호빵 옛날단팥(삼립)"
81559,"호빵,피자호빵(삼립)"
82003,"감자칩,구운감자(해태제과)"
82004,"감자칩,눈을감자(오리온)"
82007,"감자칩,알감자칩(농심)"
82008,"감자칩,예감치즈그라탕(오리온)"
82010,"감자칩,포테이토칩 오리지널(농심)"
82011,"감자칩,프링글스 양파맛(한국프링글스)"
82013,"감자칩,허니버터칩(해태)"
83015,"과일잼,아웃백 망고스프레드(오뚜기)"
83049,"껌,왓따껌 콜라(롯데)"
83091,"물엿,백설 건강한쌀올리고당(씨제이푸드㈜)"
83092,"물엿,백설 건강한요리올리고당(씨제이푸드㈜)"
83166,"사탕,마요라코피코커피맛(MAYORA INDAH TBK)"
83181,"사탕,애니타임 레몬민트(롯데제과)"
83195,"사탕,츄파춥스 오렌지맛(농심)"
83206,"사탕,호올스 아이스블루(캐드베리)"
83208,"사탕,호올스 후레쉬 라임(Cadbury AdamsLtd)"
83209,"사탕,호올스(동서식품)"
83221,"설탕,마스코바도((주)에이피넷)"
83223,"설탕,백설 브라운자일로스설탕(씨제이푸드㈜)"
83259,"시리얼바,닥터유 에너지바(오리온)"
83287,"젤리,웰치스 후르츠스넥(웰치스)"
83289,"젤리,젤리스트로우(키즈웰(대만 TSANG LIN INDUSTRIES CORP))"
83291,"젤리,트롤리구미캔디사우어글로우웜즈(부강무역)"
83292,"젤리,하리보 골드베렌 (Haribo Gmbh & Co.KG)"
83297,"초코바,가나초코바아몬드(롯데)"
83300,"초코바,자유시간미니(해태제과(주))"
83303,"초코바,트윅스(Mr Food Korea)"
83305,"초코스프레드,뉴텔라 페레로(페레로(매일유업))"
83312,"초콜렛,드림카카오72%(롯데)"
